av,a-v
avf,a-vf
vav,va-v
vavf,va-vf
Hp,H-p
Hpu,H-pu
aHp,aH-p
aHpu,aH-pu
ak,a-k
akA,a-kA
tak,ta-k
takA,ta-kA
tp,t-p
tpa,t-pa
atp,at-p
atpa,at-pa
ap,a-p
apU,a-pU
rap,ra-p
rapU,ra-pU
iB,i-B
iBe,i-Be
tiB,ti-B
tiBe,ti-Be
aG,a-G
aGn,a-Gn
raG,ra-G
raGn,ra-Gn
vot,va-ut
votk,va-utk
rvot,rva-ut
rvotk,rva-utk
aB,a-B
aBu,a-Bu
SaB,Sa-B
SaBu,Sa-Bu
as,a-s
asa,a-sa
Ras,Ra-s
Rasa,Ra-sa
an,a-n
ani,a-ni
van,va-n
vani,va-ni
an,a-n
ana,a-na
gan,ga-n
gana,ga-na
tp,t-p
tpi,t-pi
ftp,ft-p
ftpi,ft-pi
ap,a-p
apr,a-pr
rap,ra-p
rapr,ra-pr
Hp,H-p
Hpu,H-pu
uHp,uH-p
uHpu,uH-pu
an,a-n
ani,a-ni
San,Sa-n
Sani,Sa-ni
av,a-v
avi,a-vi
Tav,Ta-v
Tavi,Ta-vi
yA,ya-A
yAr,ya-Ar
syA,sya-A
syAr,sya-Ar
aD,a-D
aDi,a-Di
saD,sa-D
saDi,sa-Di
as,a-s
asa,a-sa
tas,ta-s
tasa,ta-sa
aD,a-D
aDe,a-De
maD,ma-D
maDe,ma-De
al,a-l
alo,a-lo
ral,ra-l
ralo,ra-lo
gAp,ga-ap
gApa,ga-apa
AgAp,Aga-ap
AgApa,Aga-apa
aj,a-j
ajA,a-jA
maj,ma-j
majA,ma-jA
nAn,na-an
nAnt,na-ant
anAn,ana-an
anAnt,ana-ant
kod,ka-ud
koda,ka-uda
ukod,uka-ud
ukoda,uka-uda
tA,ta-A
tAn,ta-An
itA,ita-A
itAn,ita-An
rA,ra-A
rAt,ra-At
ArA,Ara-A
ArAt,Ara-At
yop,ya-up
yopA,ya-upA
Ryop,Rya-up
RyopA,Rya-upA
mA,ma-A
mAt,ma-At
rmA,rma-A
rmAt,rma-At
AD,A-D
ADA,A-DA
lAD,lA-D
lADA,lA-DA
sop,sa-up
sopa,sa-upa
Asop,Asa-up
Asopa,Asa-upa
aS,a-S
aSr,a-Sr
maS,ma-S
maSr,ma-Sr
as,a-s
asa,a-sa
kas,ka-s
kasa,ka-sa
ap,a-p
apu,a-pu
jap,ja-p
japu,ja-pu
ut,u-t
uta,u-ta
rut,ru-t
ruta,ru-ta
om,o-m
omU,o-mU
gom,go-m
gomU,go-mU
un,u-n
unA,u-nA
run,ru-n
runA,ru-nA
alAr,arTa-ar
alArT,arTa-arT
DAr,Da-ar
DArT,Da-arT
dDAr,dDa-ar
dDArT,dDa-arT
ad,a-d
ada,a-da
mad,ma-d
mada,ma-da
ar,a-r
are,a-re
Rar,Ra-r
Rare,Ra-re
id,i-d
ida,i-da
wid,wi-d
wida,wi-da
iv,i-v
ivi,i-vi
riv,ri-v
rivi,ri-vi
ap,a-p
apa,a-pa
hap,ha-p
hapa,ha-pa
ak,a-k
aku,a-ku
mak,ma-k
maku,ma-ku
ak,a-k
aka,a-ka
tak,ta-k
taka,ta-ka
RA,Ra-A
RAd,Ra-Ad
ARA,ARa-A
ARAd,ARa-Ad
aB,a-B
aBA,a-BA
maB,ma-B
maBA,ma-BA
aj,a-j
ajy,a-jy
yaj,ya-j
yajy,ya-jy
al,a-l
ali,a-li
gal,ga-l
gali,ga-li
as,a-s
asa,a-sa
ras,ra-s
rasa,ra-sa
ad,a-d
ada,a-da
rad,ra-d
rada,ra-da
as,a-s
asT,a-sT
ras,ra-s
rasT,ra-sT
yAk,ya-ak
yAkz,ya-akz
RyAk,Rya-ak
RyAkz,Rya-akz
vot,va-ut
vott,va-utt
ivot,iva-ut
ivott,iva-utt
av,a-v
ave,a-ve
tav,ta-v
tave,ta-ve
aD,a-D
aDe,a-De
maD,ma-D
maDe,ma-De
roh,ra-Uh
rohi,ra-Uhi
uroh,ura-Uh
urohi,ura-Uhi
ar,a-r
arA,a-rA
tar,ta-r
tarA,ta-rA
ak,a-k
aka,a-ka
tak,ta-k
taka,ta-ka
av,a-v
ava,a-va
Rav,Ra-v
Rava,Ra-va
sAn,sa-an
sAnt,sa-ant
asAn,asa-an
asAnt,asa-ant
as,a-s
asa,a-sa
zas,za-s
zasa,za-sa
YeS,Ya-IS
YeSv,Ya-ISv
jYeS,jYa-IS
jYeSv,jYa-ISv
up,u-p
upa,u-pa
bup,bu-p
bupa,bu-pa
aj,a-j
ajA,a-jA
yaj,ya-j
yajA,ya-jA
av,a-v
ava,a-va
kav,ka-v
kava,ka-va
al,a-l
ali,a-li
yal,ya-l
yali,ya-li
ak,a-k
akz,a-kz
ap,a-p
apa,a-pa
lap,la-p
lapa,la-pa
av,a-v
avA,a-vA
lav,la-v
lavA,la-vA
id,i-d
ida,i-da
tid,ti-d
tida,ti-da
ap,a-p
apr,a-pr
rap,ra-p
rapr,ra-pr
ag,a-g
aga,a-ga
mag,ma-g
maga,ma-ga
ar,a-r
arA,a-rA
var,va-r
varA,va-rA
Ap,A-p
ApA,A-pA
hAp,hA-p
hApA,hA-pA
inm,it-m
inmA,it-mA
cinm,cit-m
cinmA,cit-mA
ab,a-b
abu,a-bu
nab,na-b
nabu,na-bu
us,u-s
usm,u-sm
gus,gu-s
gusm,gu-sm
av,a-v
ava,a-va
nav,na-v
nava,na-va
cyA,ci-A
cyAd,ci-Ad
IcyA,Ici-A
IcyAd,Ici-Ad
ah,a-h
aha,a-ha
rah,ra-h
raha,ra-ha
as,a-s
asa,a-sa
kas,ka-s
kasa,ka-sa
av,a-v
ava,a-va
tav,ta-v
tava,ta-va
an,a-n
anA,a-nA
ran,ra-n
ranA,ra-nA
ag,a-g
agu,a-gu
rag,ra-g
ragu,ra-gu
av,a-v
ava,a-va
pav,pa-v
pava,pa-va
wAn,wa-an
wAnn,wa-ann
zwAn,zwa-an
zwAnn,zwa-ann
av,a-v
avA,a-vA
tav,ta-v
tavA,ta-vA
add,at-d
adda,at-da
tadd,tat-d
tadda,tat-da
RAv,Ra-av
RAva,Ra-ava
iRAv,iRa-av
iRAva,iRa-ava
iqv,iw-v
iqvA,iw-vA
viqv,viw-v
viqvA,viw-vA
uS,u-S
uSA,u-SA
huS,hu-S
huSA,hu-SA
ap,a-p
apa,a-pa
zap,za-p
zapa,za-pa
In,I-n
Ini,I-ni
qIn,qI-n
qIni,qI-ni
ah,a-h
ahI,a-hI
rah,ra-h
rahI,ra-hI
in,i-n
ini,i-ni
win,wi-n
wini,wi-ni
vAd,va-ad
vAde,va-ade
evAd,eva-ad
evAde,eva-ade
